Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.793957, train acc: 0.433937, train avg acc: 0.257482
Train 0, loss: 11.121487, acc: 0.433937, avg acc: 0.257482, prec(macro): 0.279854, prec(weighted): 0.376495, recall(macro): 0.257482, recall(weighted): 0.433937, f1(macro): 0.248592, f1(weighted): 0.389812
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.793957, acc: 0.433937, avg acc: 0.257482, prec(macro): 0.279854, prec(weighted): 0.376495, recall(macro): 0.257482, recall(weighted): 0.433937, f1(macro): 0.248592, f1(weighted): 0.389812
Train 0, loss: 11.121487, acc: 0.433937, avg acc: 0.257482, prec(macro): 0.279854, prec(weighted): 0.376495, recall(macro): 0.257482, recall(weighted): 0.433937, f1(macro): 0.248592, f1(weighted): 0.389812
Train 1, loss: 2.203906, acc: 0.634365, avg acc: 0.454304, prec(macro): 0.507014, prec(weighted): 0.599033, recall(macro): 0.454304, recall(weighted): 0.634365, f1(macro): 0.453808, f1(weighted): 0.601928
Train 1, loss: 8.772759, acc: 0.634365, avg acc: 0.454304, prec(macro): 0.507014, prec(weighted): 0.599033, recall(macro): 0.454304, recall(weighted): 0.634365, f1(macro): 0.453808, f1(weighted): 0.601928
Train 2, loss: 2.050108, acc: 0.704703, avg acc: 0.543973, prec(macro): 0.580993, prec(weighted): 0.678567, recall(macro): 0.543973, recall(weighted): 0.704703, f1(macro): 0.548527, f1(weighted): 0.683492
Train 2, loss: 8.160561, acc: 0.704703, avg acc: 0.543973, prec(macro): 0.580993, prec(weighted): 0.678567, recall(macro): 0.543973, recall(weighted): 0.704703, f1(macro): 0.548527, f1(weighted): 0.683492
Train 3, loss: 1.951211, acc: 0.743893, avg acc: 0.607729, prec(macro): 0.647751, prec(weighted): 0.727600, recall(macro): 0.607729, recall(weighted): 0.743893, f1(macro): 0.616829, f1(weighted): 0.729835
Train 3, loss: 7.766895, acc: 0.743893, avg acc: 0.607729, prec(macro): 0.647751, prec(weighted): 0.727600, recall(macro): 0.607729, recall(weighted): 0.743893, f1(macro): 0.616829, f1(weighted): 0.729835
Train 4, loss: 1.895633, acc: 0.771682, avg acc: 0.648555, prec(macro): 0.687151, prec(weighted): 0.757389, recall(macro): 0.648555, recall(weighted): 0.771682, f1(macro): 0.658482, f1(weighted): 0.759501
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.793957, acc: 0.433937, avg acc: 0.257482, prec(macro): 0.279854, prec(weighted): 0.376495, recall(macro): 0.257482, recall(weighted): 0.433937, f1(macro): 0.248592, f1(weighted): 0.389812
Train 0, loss: 11.121487, acc: 0.433937, avg acc: 0.257482, prec(macro): 0.279854, prec(weighted): 0.376495, recall(macro): 0.257482, recall(weighted): 0.433937, f1(macro): 0.248592, f1(weighted): 0.389812
