Epoch	LR	Train-Loss	Train-Acc-B	Train-Acc	Train-Precision	Train-Recall	Train-F1	Valid-Loss	Valid-Acc-B	Valid-Acc	Valid-Precision	Valid-Recall	Valid-F1	
0.000000	0.099997	3.285000	10.137000	22.221000	8.985000	10.137000	8.643000	2.985000	17.366000	27.310000	12.724000	17.366000	10.836000	
1.000000	0.099990	2.877000	18.810000	37.052000	16.905000	18.810000	16.305000	2.679000	26.826000	39.425000	26.197000	26.826000	21.237000	
2.000000	0.099977	2.577000	27.082000	46.875000	28.604000	27.082000	25.565000	2.437000	35.472000	45.827000	41.933000	35.472000	31.882000	
3.000000	0.099958	2.332000	37.535000	56.586000	41.442000	37.535000	36.993000	2.114000	52.195000	65.032000	55.120000	52.195000	48.581000	
4.000000	0.099935	2.179000	45.968000	63.457000	49.554000	45.968000	46.147000	2.110000	53.604000	62.318000	52.844000	53.604000	48.337000	
5.000000	0.099906	2.099000	50.089000	66.673000	52.673000	50.089000	50.238000	1.893000	59.333000	73.379000	66.811000	59.333000	58.915000	
6.000000	0.099872	2.026000	54.564000	69.829000	57.383000	54.564000	54.854000	1.968000	60.286000	70.665000	65.162000	60.286000	58.952000	
7.000000	0.099833	1.969000	57.900000	72.109000	61.153000	57.900000	58.430000	1.832000	67.343000	77.229000	71.640000	67.343000	65.515000	
8.000000	0.099789	1.922000	61.769000	74.583000	65.280000	61.769000	62.567000	1.747000	72.288000	80.916000	75.875000	72.288000	71.501000	
9.000000	0.099740	1.892000	62.763000	75.519000	65.989000	62.763000	63.499000	1.863000	67.023000	75.567000	72.985000	67.023000	66.098000	
10.000000	0.099685	1.862000	66.159000	77.555000	69.539000	66.159000	66.969000	1.709000	74.790000	83.995000	79.899000	74.790000	75.683000	
11.000000	0.099625	1.838000	67.530000	78.471000	70.147000	67.530000	68.192000	1.694000	76.754000	82.901000	78.622000	76.754000	75.903000	
12.000000	0.099561	1.819000	68.018000	79.204000	70.963000	68.018000	68.849000	1.659000	76.149000	84.846000	79.457000	76.149000	76.468000	
13.000000	0.099490	1.793000	70.565000	80.711000	73.061000	70.565000	71.294000	1.708000	74.158000	82.010000	78.384000	74.158000	73.016000	
14.000000	0.099415	1.773000	70.959000	81.026000	73.901000	70.959000	71.908000	1.650000	77.959000	85.049000	84.015000	77.959000	79.080000	
15.000000	0.099335	1.763000	71.241000	81.199000	73.786000	71.241000	71.965000	1.671000	78.567000	83.874000	79.117000	78.567000	77.393000	
16.000000	0.099249	1.749000	72.817000	82.482000	75.666000	72.817000	73.718000	1.684000	77.469000	82.820000	80.692000	77.469000	76.307000	
17.000000	0.099159	1.746000	72.699000	81.800000	74.835000	72.699000	73.409000	1.717000	75.232000	81.280000	75.575000	75.232000	72.428000	
18.000000	0.099063	1.735000	73.971000	83.103000	76.204000	73.971000	74.654000	1.614000	79.940000	86.386000	81.741000	79.940000	79.193000	
19.000000	0.098962	1.716000	75.499000	83.673000	77.523000	75.499000	76.155000	1.605000	79.653000	86.831000	83.517000	79.653000	80.042000	
20.000000	0.098856	1.705000	76.060000	84.456000	78.009000	76.060000	76.737000	1.576000	82.913000	88.250000	83.257000	82.913000	82.488000	
21.000000	0.098745	1.698000	76.028000	84.477000	78.042000	76.028000	76.621000	1.574000	81.721000	87.844000	84.340000	81.721000	81.661000	
22.000000	0.098629	1.693000	76.515000	84.701000	78.753000	76.515000	77.131000	1.590000	80.624000	86.669000	84.183000	80.624000	80.911000	
23.000000	0.098508	1.690000	76.904000	84.721000	78.689000	76.904000	77.559000	1.586000	81.451000	87.439000	84.230000	81.451000	81.898000	
24.000000	0.098381	1.669000	77.919000	85.668000	79.864000	77.919000	78.605000	1.604000	78.938000	85.616000	83.556000	78.938000	78.332000	
25.000000	0.098250	1.670000	78.114000	85.800000	79.760000	78.114000	78.642000	1.564000	82.263000	88.695000	83.687000	82.263000	82.068000	
26.000000	0.098114	1.660000	79.329000	86.452000	81.358000	79.329000	80.035000	1.584000	82.858000	87.237000	84.115000	82.858000	82.106000	
27.000000	0.097973	1.660000	79.050000	86.024000	80.512000	79.050000	79.472000	1.571000	83.744000	88.695000	84.324000	83.744000	82.952000	
28.000000	0.097826	1.645000	79.779000	86.737000	82.055000	79.779000	80.561000	1.582000	82.113000	87.804000	84.126000	82.113000	81.985000	
29.000000	0.097675	1.642000	79.897000	86.859000	81.346000	79.897000	80.409000	1.586000	81.453000	86.426000	83.362000	81.453000	81.040000	
30.000000	0.097519	1.639000	80.174000	87.022000	82.320000	80.174000	80.872000	1.573000	83.476000	87.885000	86.548000	83.476000	84.012000	
31.000000	0.097358	1.636000	80.264000	87.011000	81.897000	80.264000	80.902000	1.552000	83.078000	88.371000	85.580000	83.078000	83.056000	
32.000000	0.097192	1.628000	80.761000	87.469000	82.387000	80.761000	81.329000	1.585000	82.698000	87.318000	85.038000	82.698000	82.917000	
33.000000	0.097021	1.632000	81.391000	87.632000	83.173000	81.391000	82.039000	1.540000	82.555000	89.019000	86.673000	82.555000	83.380000	
34.000000	0.096845	1.618000	81.650000	87.958000	83.180000	81.650000	82.175000	1.546000	82.556000	88.290000	85.566000	82.556000	82.967000	
35.000000	0.096664	1.621000	81.844000	88.080000	83.493000	81.844000	82.287000	1.549000	83.352000	89.182000	86.613000	83.352000	83.598000	
36.000000	0.096479	1.616000	81.401000	87.836000	83.422000	81.401000	82.086000	1.550000	83.530000	89.465000	85.745000	83.530000	83.186000	
